"","Region","Age_lower","Year","Population","Proportion","Data"
"157","Gyeonggi","15",2000,677876,0.0741136037006728,"Urban"
"158","Gyeonggi","20",2000,648787,0.0709332423690297,"Urban"
"159","Gyeonggi","25",2000,850285,0.0929634409871814,"Urban"
"160","Gyeonggi","30",2000,950116,0.10387817343241,"Urban"
"161","Gyeonggi","35",2000,983942,0.107576440901356,"Urban"
"162","Gyeonggi","40",2000,830030,0.0907489193888992,"Urban"
"163","Gyeonggi","45",2000,509693,0.0557258038505671,"Urban"
"164","Gyeonggi","50",2000,371117,0.0405749993576739,"Urban"
"165","Gyeonggi","55",2000,312263,0.0341403681976987,"Urban"
"166","Gyeonggi","60",2000,283202,0.030963068164735,"Urban"
"167","Gyeonggi","65",2000,215856,0.0235999888481262,"Urban"
"168","Gyeonggi","70",2000,141808,0.0155041658261762,"Urban"
"169","Gyeonggi","75",2000,92403,0.0101026136384136,"Urban"
"170","Gyeonggi","80",2000,72743,0.00795314463706938,"Urban"
"171","Gangwon","0",2000,100314,0.0661874301021704,NA
"172","Gangwon","5",2000,104795,0.0691440051992439,NA
"173","Gangwon","10",2000,98691,0.0651165706104163,NA
"174","Gangwon","15",2000,124865,0.0823862417978299,NA
"175","Gangwon","20",2000,116713,0.0770075316457784,NA
"176","Gangwon","25",2000,119368,0.0787593073393133,NA
"177","Gangwon","30",2000,121073,0.0798842706377981,NA
"178","Gangwon","35",2000,128117,0.0845319195964648,NA
"179","Gangwon","40",2000,129420,0.0853916422814652,NA
"180","Gangwon","45",2000,96111,0.0634142801059643,NA
"181","Gangwon","50",2000,71677,0.0472926653052741,NA
"182","Gangwon","55",2000,77745,0.0512963470033419,NA
"183","Gangwon","60",2000,78831,0.0520128925412624,NA
"184","Gangwon","65",2000,58746,0.0387607589048598,NA
"185","Gangwon","70",2000,39911,0.0263333784198389,NA
"186","Gangwon","75",2000,27002,0.0178159876748889,NA
"187","Gangwon","80",2000,22226,0.0146647708340894,NA
"188","Chungbuk","0",2000,103997,0.0695922113362291,NA
"189","Chungbuk","5",2000,110077,0.0736607964389174,NA
"190","Chungbuk","10",2000,99333,0.0664711782903511,NA
"191","Chungbuk","15",2000,126216,0.0844606146909381,NA
"192","Chungbuk","20",2000,124409,0.0832514151382148,NA
"193","Chungbuk","25",2000,123919,0.0829235192993468,NA
"194","Chungbuk","30",2000,123150,0.0824089235848785,NA
"195","Chungbuk","35",2000,126884,0.0849076237120887,NA
"196","Chungbuk","40",2000,120804,0.0808390386094004,NA
"197","Chungbuk","45",2000,89789,0.0600845703594207,NA
"198","Chungbuk","50",2000,66130,0.0442525547435487,NA
"199","Chungbuk","55",2000,66655,0.0446038717137643,NA
"200","Chungbuk","60",2000,70220,0.0469894812353241,NA
"201","Chungbuk","65",2000,56549,0.0378411873309078,NA
"202","Chungbuk","70",2000,38520,0.0257766279861106,NA
"203","Chungbuk","75",2000,26238,0.0175578184086077,NA
"204","Chungbuk","80",2000,21487,0.0143785671219512,NA
"205","Chungnam","0",2000,126993,0.0675755637549394,NA
"206","Chungnam","5",2000,131385,0.0699126364755751,NA
"207","Chungnam","10",2000,119872,0.0637863345100289,NA
"208","Chungnam","15",2000,156605,0.0833327125262202,NA
"209","Chungnam","20",2000,142708,0.0759378355684163,NA
"210","Chungnam","25",2000,145992,0.0776853189050665,NA
"211","Chungnam","30",2000,143386,0.0762986131878587,NA
"212","Chungnam","35",2000,149954,0.0797935798611591,NA
"213","Chungnam","40",2000,141077,0.0750699472243005,NA
"214","Chungnam","45",2000,107155,0.0570193596037619,NA
"215","Chungnam","50",2000,96383,0.0512873588417655,NA
"216","Chungnam","55",2000,92285,0.0491067295136313,NA
"217","Chungnam","60",2000,101978,0.0542645723827393,NA
"218","Chungnam","65",2000,90220,0.0480079009234417,NA
"219","Chungnam","70",2000,59795,0.0318181382810596,NA
"220","Chungnam","75",2000,40375,0.0214843604498333,NA
"221","Chungnam","80",2000,33111,0.0176190379902026,NA
"222","Jeonbuk","0",2000,129122,0.0670065723752663,NA
"223","Jeonbuk","5",2000,136888,0.0710366605172275,NA
"224","Jeonbuk","10",2000,126958,0.0658835861868547,NA
"225","Jeonbuk","15",2000,165475,0.0858715986725515,NA
"226","Jeonbuk","20",2000,157969,0.0819764349340038,NA
"227","Jeonbuk","25",2000,154620,0.0802385048300342,NA
"228","Jeonbuk","30",2000,143603,0.07452134270539,NA
"229","Jeonbuk","35",2000,147957,0.0767808075225544,NA
"230","Jeonbuk","40",2000,143245,0.0743355621806897,NA
"231","Jeonbuk","45",2000,110593,0.0573911328719957,NA
"232","Jeonbuk","50",2000,106468,0.0552505053178378,NA
"233","Jeonbuk","55",2000,94000,0.0487803612341431,NA
"234","Jeonbuk","60",2000,97047,0.0503615714541478,NA
"235","Jeonbuk","65",2000,84011,0.0435966694429957,NA
"236","Jeonbuk","70",2000,58960,0.0305967031740966,NA
"237","Jeonbuk","75",2000,38139,0.0197918531607339,NA
"238","Jeonbuk","80",2000,31950,0.0165801334194774,NA
"239","Jeonnam","0",2000,134933,0.0663071200066832,"Rural"
"240","Jeonnam","5",2000,142056,0.0698074173083633,"Rural"
"241","Jeonnam","10",2000,129595,0.0636839855133,"Rural"
"242","Jeonnam","15",2000,163191,0.0801933198032403,"Rural"
"243","Jeonnam","20",2000,143873,0.0707003051642039,"Rural"
"244","Jeonnam","25",2000,142201,0.0698786714300457,"Rural"
"245","Jeonnam","30",2000,147340,0.0724040157840165,"Rural"
"246","Jeonnam","35",2000,151151,0.0742767706649238,"Rural"
"247","Jeonnam","40",2000,144064,0.0707941640417303,"Rural"
"248","Jeonnam","45",2000,113518,0.0557836233457987,"Rural"
"249","Jeonnam","50",2000,113723,0.0558843619316255,"Rural"
"250","Jeonnam","55",2000,111864,0.0549708349508838,"Rural"
"251","Jeonnam","60",2000,124885,0.0613694550779618,"Rural"
"252","Jeonnam","65",2000,106153,0.0521644053720694,"Rural"
"253","Jeonnam","70",2000,75479,0.0370909644859629,"Rural"
"254","Jeonnam","75",2000,50849,0.0249875919546725,"Rural"
"255","Jeonnam","80",2000,40095,0.0197029931645184,"Rural"
"256","Gyeongbuk","0",2000,181074,0.0652909488198346,NA
"257","Gyeongbuk","5",2000,189977,0.0685011574491407,NA
"258","Gyeongbuk","10",2000,174273,0.0628386710608869,NA
"259","Gyeongbuk","15",2000,228502,0.0823923500183894,NA
"260","Gyeongbuk","20",2000,211814,0.0763750567907289,NA
"261","Gyeongbuk","25",2000,220038,0.0793404342778022,NA
"262","Gyeongbuk","30",2000,222638,0.0802779320242019,NA
"263","Gyeongbuk","35",2000,225556,0.0813300929565073,NA
"264","Gyeongbuk","40",2000,211954,0.0764255374386119,NA
"265","Gyeongbuk","45",2000,167292,0.0603214896118038,NA
"266","Gyeongbuk","50",2000,142773,0.0514805252871988,NA
"267","Gyeongbuk","55",2000,135074,0.0487044502296869,NA
"268","Gyeongbuk","60",2000,146072,0.0526700656969575,NA
"269","Gyeongbuk","65",2000,122670,0.044231864827248,NA
"270","Gyeongbuk","70",2000,85816,0.0309431948480893,NA
"271","Gyeongbuk","75",2000,58637,0.0211430982137062,NA
"272","Gyeongbuk","80",2000,49180,0.0177331304492057,NA
"273","Gyeongnam","0",2000,219390,0.0722730583471775,NA
"274","Gyeongnam","5",2000,235414,0.0775518016215071,NA
"275","Gyeongnam","10",2000,207904,0.0684892562223055,NA
"276","Gyeongnam","15",2000,241792,0.0796528890281268,NA
"277","Gyeongnam","20",2000,217238,0.0715641307681487,NA
"278","Gyeongnam","25",2000,251632,0.0828944537946897,NA
"279","Gyeongnam","30",2000,269811,0.0888831129299891,NA
"280","Gyeongnam","35",2000,275846,0.0908712067680183,NA
"281","Gyeongnam","40",2000,255370,0.0841258530932072,NA
"282","Gyeongnam","45",2000,185259,0.0610293747041331,NA
"283","Gyeongnam","50",2000,148772,0.0490095603100702,NA
"284","Gyeongnam","55",2000,129061,0.0425162185302205,NA
"285","Gyeongnam","60",2000,128821,0.0424371559749385,NA
"286","Gyeongnam","65",2000,108556,0.0357613114633128,NA
"287","Gyeongnam","70",2000,76047,0.0250519589230494,NA
"288","Gyeongnam","75",2000,49955,0.016456541454639,NA
"289","Gyeongnam","80",2000,34703,0.0114321160664666,NA
"290","Jeju","0",2000,42131,0.0803747553330713,NA
"291","Jeju","5",2000,43215,0.0824427393538885,NA
"292","Jeju","10",2000,34400,0.0656260611772247,NA
"293","Jeju","15",2000,42095,0.0803060768969556,NA
"294","Jeju","20",2000,40381,0.0770362202441137,NA
"295","Jeju","25",2000,47481,0.090581134033599,NA
"296","Jeju","30",2000,47901,0.0913823824549489,NA
"297","Jeju","35",2000,45423,0.0866550167689848,NA
"298","Jeju","40",2000,39955,0.0762235254167446,NA
"299","Jeju","45",2000,28255,0.053903033679142,NA
"300","Jeju","50",2000,25673,0.048977263622177,NA
"301","Jeju","55",2000,23118,0.0441030023922989,NA
"302","Jeju","60",2000,20957,0.0399803884910203,NA
"303","Jeju","65",2000,16791,0.0320327672449645,NA
"304","Jeju","70",2000,10452,0.0199396392855916,NA
"305","Jeju","75",2000,7879,0.0150310388376556,NA
"306","Jeju","80",2000,8075,0.0154049547676189,NA
"307","Nationwide","0",2025,1219810,0.0236010504025922,NA
"308","Nationwide","5",2025,1766989,0.0341879443928365,NA
"309","Nationwide","10",2025,2271667,0.0439525232330488,NA
"310","Nationwide","15",2025,2267007,0.0438623609168881,NA
"311","Nationwide","20",2025,2660295,0.0514717508306735,NA
"312","Nationwide","25",2025,3476469,0.0672631968028211,NA
"313","Nationwide","30",2025,3670087,0.0710093442986188,NA
"314","Nationwide","35",2025,3305481,0.063954897636362,NA
"315","Nationwide","40",2025,3851246,0.0745144333615739,NA
"316","Nationwide","45",2025,3865770,0.0747954456963205,NA
"317","Nationwide","50",2025,4367799,0.0845087713229041,NA
"318","Nationwide","55",2025,4292571,0.0830532497091395,NA
"319","Nationwide","60",2025,4155466,0.0804005234522245,NA
"320","Nationwide","65",2025,3688605,0.0713676330906071,NA
"321","Nationwide","70",2025,2527085,0.0488943855654853,NA
"322","Nationwide","75",2025,1820534,0.0352239403625423,NA
"323","Nationwide","80",2025,2477683,0.0479385489253619,NA
"324","Seoul","0",2025,187219,0.0200450668443701,NA
"325","Seoul","5",2025,259252,0.0277574587490407,NA
